Mês de Data Referencia;Evento;Uf;Total
fevereiro de 2020;Roubo de veículo;RN;823
fevereiro de 2020;Roubo de veículo;RO;
fevereiro de 2020;Roubo de veículo;RR;42
fevereiro de 2020;Roubo de veículo;RS;906
fevereiro de 2020;Roubo de veículo;SC;138
fevereiro de 2020;Roubo de veículo;SE;214
fevereiro de 2020;Roubo de veículo;SP;3242
fevereiro de 2020;Roubo de veículo;TO;47
março de 2020;Roubo de veículo;AC;125
março de 2020;Roubo de veículo;AL;196
março de 2020;Roubo de veículo;AM;181
março de 2020;Roubo de veículo;AP;87
março de 2020;Roubo de veículo;BA;1325
março de 2020;Roubo de veículo;CE;1080
março de 2020;Roubo de veículo;DF;269
março de 2020;Roubo de veículo;ES;469
março de 2020;Roubo de veículo;GO;314
março de 2020;Roubo de veículo;MA;206
março de 2020;Roubo de veículo;MG;706
março de 2020;Roubo de veículo;MS;46
março de 2020;Roubo de veículo;MT;163
março de 2020;Roubo de veículo;PA;245
março de 2020;Roubo de veículo;PB;384
março de 2020;Roubo de veículo;PE;964
março de 2020;Roubo de veículo;PI;462
março de 2020;Roubo de veículo;PR;490
março de 2020;Roubo de veículo;RJ;2449
março de 2020;Roubo de veículo;RN;878
março de 2020;Roubo de veículo;RO;
março de 2020;Roubo de veículo;RR;66
março de 2020;Roubo de veículo;RS;866
março de 2020;Roubo de veículo;SC;126
março de 2020;Roubo de veículo;SE;213
março de 2020;Roubo de veículo;SP;3181
março de 2020;Roubo de veículo;TO;58
abril de 2020;Roubo de veículo;AC;73
abril de 2020;Roubo de veículo;AL;182
abril de 2020;Roubo de veículo;AM;142
abril de 2020;Roubo de veículo;AP;71
abril de 2020;Roubo de veículo;BA;1073
abril de 2020;Roubo de veículo;CE;1008
abril de 2020;Roubo de veículo;DF;187
abril de 2020;Roubo de veículo;ES;336
abril de 2020;Roubo de veículo;GO;233
abril de 2020;Roubo de veículo;MA;234
abril de 2020;Roubo de veículo;MG;684
abril de 2020;Roubo de veículo;MS;34
abril de 2020;Roubo de veículo;MT;133
abril de 2020;Roubo de veículo;PA;183
abril de 2020;Roubo de veículo;PB;392
abril de 2020;Roubo de veículo;PE;913
abril de 2020;Roubo de veículo;PI;326
abril de 2020;Roubo de veículo;PR;433
abril de 2020;Roubo de veículo;RJ;1846
abril de 2020;Roubo de veículo;RN;844
abril de 2020;Roubo de veículo;RO;
abril de 2020;Roubo de veículo;RR;49
abril de 2020;Roubo de veículo;RS;804
abril de 2020;Roubo de veículo;SC;140
abril de 2020;Roubo de veículo;SE;166
abril de 2020;Roubo de veículo;SP;2215
abril de 2020;Roubo de veículo;TO;53
maio de 2020;Roubo de veículo;AC;83
maio de 2020;Roubo de veículo;AL;145
maio de 2020;Roubo de veículo;AM;151
maio de 2020;Roubo de veículo;AP;46
maio de 2020;Roubo de veículo;BA;827
maio de 2020;Roubo de veículo;CE;797
maio de 2020;Roubo de veículo;DF;155
maio de 2020;Roubo de veículo;ES;274
maio de 2020;Roubo de veículo;GO;166
maio de 2020;Roubo de veículo;MA;192
maio de 2020;Roubo de veículo;MG;560
maio de 2020;Roubo de veículo;MS;30
maio de 2020;Roubo de veículo;MT;107
maio de 2020;Roubo de veículo;PA;142
maio de 2020;Roubo de veículo;PB;282
maio de 2020;Roubo de veículo;PE;737
maio de 2020;Roubo de veículo;PI;267
maio de 2020;Roubo de veículo;PR;341
maio de 2020;Roubo de veículo;RJ;1586
maio de 2020;Roubo de veículo;RN;568
maio de 2020;Roubo de veículo;RO;
maio de 2020;Roubo de veículo;RR;29
maio de 2020;Roubo de veículo;RS;719
maio de 2020;Roubo de veículo;SC;134
maio de 2020;Roubo de veículo;SE;139
maio de 2020;Roubo de veículo;SP;1992
maio de 2020;Roubo de veículo;TO;40
junho de 2020;Roubo de veículo;AC;65
junho de 2020;Roubo de veículo;AL;37
junho de 2020;Roubo de veículo;AM;154
junho de 2020;Roubo de veículo;AP;26
junho de 2020;Roubo de veículo;BA;676
junho de 2020;Roubo de veículo;CE;594
